Name,VAScore,AssetsAPK,StubComponents,StubProcesses,#Permissions,#Activities,#Components,#Processes,Framework
2AccountsDualAppsSpace_v3.7.4_apkpure.com.apk,6,2,250,100,233,386,627,105,com.excelliance
2FaceParallelSpace_v2.13.41_apkpure.com.apk,6,1,150,50,167,390,523,105,0
2SpaceMultipleAccounts_v1.2.42_apkpure.com.apk,6,1,150,50,166,298,434,106,0
AppClonerCloneAppforDual_v3.2.6_apkpure.com.apk,6,2,75,25,194,261,288,53,lody.virtual
AppCloner_v1.1.3_VER_32546001307580_apkpure.com.apk,6,1,50,25,147,122,127,52,0
CloneAppParallelSpace_v1.5.6_apkpure.com.apk,4,0,75,25,145,166,266,55,0
CloneappRunmultipleaccou_v12.2.866_apkpure.com.apk,4,0,75,25,167,162,179,51,lody.virtual
CloneApp_v2.1_apkpure.com.apk,4,0,150,65,196,329,339,101,0
CloneSpaceParallelSpace_v2.0.09_apkpure.com.apk,6,1,150,50,167,436,575,105,0
co.keeptop.multi.space.apk,4,0,150,50,205,430,553,101,lody.virtual
com.dualspace.multispace.android.apk,4,0,200,50,205,344,472,103,lody.virtual
com.ludashi.dualspace.apk,4,0,200,50,213,393,541,105,lody.virtual
com.ludashi.superboost.apk,4,0,200,50,207,392,527,103,lody.virtual
DOMultipleAccountsInfinit_v2.60.01.0612_apkpure.com.apk,4,0,150,50,198,244,381,103,0
DrCloneParallelAccountsD_v1.5_apkpure.com.apk,4,0,60,1,236,1611,1766,28,0
DualAppsCloneApp_v1.2.0_apkpure.com.apk,4,0,15,5,143,139,216,51,0
DualAppsParallelDualSpace_v1.1.0.5_apkpure.com.apk,4,0,150,50,222,226,356,102,0
MultiAccountsfor2whatsapp_v1.0.26_apkpure.com.apk,6,1,150,50,168,831,962,104,0
MultiMultipleaccountsapp_v9.3.856_apkpure.com.apk,4,0,75,25,167,163,180,51,lody.virtual
MultiParallelMultipleAcco_v2.0.28.0612_apkpure.com.apk,4,0,150,50,187,234,366,103,lody.virtual
multipleaccountcloneapp_vADRX32.64.8_apkpure.com.apk,4,0,150,50,168,227,354,102,lody.virtual
MultipleAccountDualSpaceW_v1.7_apkpure.com.apk,4,0,51,51,31,114,147,102,0
MultipleAccountsDualAccoun_v3.8.9_apkpure.com.apk,6,2,250,100,233,386,627,105,com.excelliance
MultiSpaceMultipleAccount_v1.0.1_apkpure.com.apk,4,0,200,50,157,304,405,101,lody.virtual
MultiSpace_v1.0.5_apkpure.com.apk,4,0,200,50,201,343,474,103,lody.virtual
ParallelAccounts_v2.3.4_apkpure.com.apk,4,0,50,25,174,127,165,52,lody.virtual
ParallelAppDualappcloner_v4.6.6_apkpure.com.apk,6,2,250,100,234,385,628,105,com.excelliance
ParallelSpaceAppCloner_v0.1_apkpure.com.apk,4,0,26,26,10,63,83,52,0
ParallelSpaceCloneApps_v1.0.09_apkpure.com.apk,4,0,150,50,160,832,962,104,0
ParallelSpaceMultiAccount_v1.0.11_apkpure.com.apk,4,0,75,25,142,186,283,54,0
ParallelSpaceMultiAssist_v1.0.0_apkpure.com.apk,4,0,75,25,139,105,157,52,0
SuperCloneAppClonerforM_v4.0.01.0612_apkpure.com.apk,4,0,150,50,195,244,377,103,0
VirtualAndroidGameEmulato_v1.2.7_apkpure.com.apk,4,0,20,20,21,31,80,47,com.excelliance
WaterCloneParallelSpaceMul_v1.2.1_apkpure.com.apk,4,0,150,50,200,244,363,104,0
WhatsCloneMultipleAccount_v3.0.02.0612_apkpure.com.apk,4,0,150,50,187,242,375,103,0
DualCloneCloneApp_v1.4.0_apkpure.com.apk,4,0,15,5,143,139,216,51,0
DualHouseofMultipleApps_v2.105.394_apkpure.com.apk,4,0,150,50,187,234,366,103,lody.virtual
DualMultiSpaceDualApp_v2.8_apkpure.com.apk,4,0,75,25,9,177,206,52,lody.virtual
DualMultiSpaceMultiApps_v1.8_apkpure.com.apk,4,0,75,25,10,167,195,52,lody.virtual
DualSpaceAppCloner_v0.4_apkpure.com.apk,4,0,76,26,179,178,222,52,0
DualSpaceAppCloner_v3.0_apkpure.com.apk,4,0,76,26,181,179,223,52,0
DualSpaceMultipleAccounts_v4.1.9_apkpure.com.apk,4,0,200,50,205,391,524,103,lody.virtual
DualSpacePowerfulParallelM_v1.0.5_apkpure.com.apk,4,0,150,50,196,242,366,103,0
DualSpaceProMultiAccounts_v2.2.0_apkpure.com.apk,4,0,200,50,206,392,525,103,lody.virtual
facebeauty.videocall.app.apk,4,0,150,50,171,420,542,101,lody.virtual
io.multiple.clone.apk,4,0,150,50,170,426,549,101,lody.virtual
LuluboxPro_v6.12.0_apkpure.com.apk,6,1,150,50,163,238,360,103,0
MagicCloneApp_v1.2.20.2112170940_apkpure.com.apk,4,0,150,50,167,437,572,102,lody.virtual
DualApps_v3.0.7_0e61ddfaa_apkpure.com.apk,4,0,96,64,179,153,251,68,0
MateyParallelSpaceApp_v1.0.6.1_apkpure.com.apk,4,0,75,25,143,132,209,53,0
